sex,female,classyear,year,conc,hair,vegetarian,glasses,athlete,coffee,exercise,height,heartrate
female,1,junior,3,natural_sciences,black,0,1,0,0,1,59,60
male,0,freshman,1,economics,black,0,0,0,0,5,69,64
female,1,freshman,1,arts_humanities,brown,1,0,0,1,0,68,80
male,0,sophomore,2,social_sciences,brown,0,0,0,0,10,69,64
female,1,junior,3,natural_sciences,brown,0,1,0,0,4,64,66
female,1,junior,3,social_sciences,brown,0,1,1,1,22.5,66,78
male,0,freshman,1,natural_sciences,brown,0,0,0,0,7,71,68
male,0,freshman,1,economics,brown,0,0,0,0,0,68,80
male,0,sophomore,2,social_sciences,brown,0,1,0,0,5,69,58
female,1,senior,4,social_sciences,blonde,0,0,1,1,23,71,60
male,0,junior,3,social_sciences,brown,0,0,0,0,10,70,60
female,1,freshman,1,social_sciences,brown,0,1,0,1,0,71,76
female,1,sophomore,2,arts_humanities,brown,0,0,0,1,0,65,72
male,0,sophomore,2,social_sciences,brown,0,1,0,0,0,71,110
female,1,freshman,1,economics,black,1,1,0,0,2,62,64
female,1,sophomore,2,natural_sciences,black,0,1,0,0,0,62,78
female,1,senior,4,natural_sciences,brown,0,0,0,0,7,65,56
male,0,junior,3,social_sciences,brown,1,0,0,0,2,72,58
male,0,senior,4,natural_sciences,black,0,1,0,0,2,69,72
female,1,freshman,1,arts_humanities,brown,0,1,1,0,10,65,48
male,0,sophomore,2,economics,black,0,0,0,0,1,74,74
male,0,freshman,1,social_sciences,brown,0,0,0,0,5,71,68
female,1,sophomore,2,social_sciences,black,0,0,0,1,2,62,62
male,0,sophomore,2,natural_sciences,black,0,1,0,0,2,67,68
female,1,sophomore,2,arts_humanities,black,0,0,0,0,3.5,62,76
female,1,sophomore,2,social_sciences,black,0,0,0,1,2,62,62
female,1,senior,4,arts_humanities,brown,0,1,0,0,5,68,56
male,0,sophomore,2,economics,black,0,0,1,1,35,76,70
male,0,freshman,1,economics,black,0,0,0,1,5,70,68
male,0,sophomore,2,economics,brown,0,1,1,0,20,73,80
male,0,sophomore,2,economics,brown,0,1,0,0,12,76,66
female,1,senior,4,arts_humanities,brown,0,1,0,0,5,68,56
female,1,sophomore,2,economics,black,1,1,0,1,3,63,72
male,0,senior,4,natural_sciences,black,0,1,0,0,7,72,54
female,1,junior,3,natural_sciences,brown,0,1,0,0,5,63,75
female,1,freshman,1,social_sciences,brown,0,1,1,1,12,69,64
female,1,freshman,1,arts_humanities,brown,0,1,0,0,10,64,58
male,0,freshman,1,economics,brown,0,0,0,0,0,75,72
female,1,sophomore,2,social_sciences,brown,1,0,0,0,3,68,58
male,0,freshman,1,economics,brown,0,0,1,0,4,71,71
female,1,freshman,1,economics,black,0,1,0,0,0,68.5,60
female,1,junior,3,natural_sciences,black,0,1,0,0,7,67,82
female,1,freshman,1,social_sciences,blonde,0,1,1,0,18,70,57
male,0,freshman,1,social_sciences,blonde,1,1,0,1,5,78,55
female,1,junior,3,natural_sciences,brown,0,1,0,0,5,63,75
male,0,freshman,1,economics,black,0,0,0,0,3,69,76
female,1,sophomore,2,social_sciences,brown,1,1,0,0,3.5,70,68
female,1,freshman,1,economics,brown,0,0,1,1,18,69,60
female,1,junior,3,natural_sciences,black,0,1,0,1,3,60,74
male,0,sophomore,2,social_sciences,brown,0,0,0,0,4,70,60
male,0,freshman,1,natural_sciences,brown,0,1,0,1,5,72,72
female,1,freshman,1,social_sciences,black,0,1,0,0,12,65,66
male,0,sophomore,2,economics,black,0,0,1,1,35,76,70
female,1,sophomore,2,natural_sciences,brown,0,1,1,0,20,65,58
male,0,freshman,1,arts_humanities,brown,0,1,0,0,7,67,62
female,1,sophomore,2,economics,brown,0,0,1,0,3.5,65,74
female,1,junior,3,arts_humanities,brown,0,1,0,1,6,69,70
female,1,sophomore,2,social_sciences,black,0,0,0,0,0,63,78
male,0,freshman,1,economics,brown,0,0,1,0,20,70,56
female,1,freshman,1,economics,blonde,0,0,0,1,3,69,70
male,0,junior,3,social_sciences,blonde,0,0,0,0,4,73,72
female,1,sophomore,2,social_sciences,brown,0,0,0,0,5,66,62
male,0,junior,3,natural_sciences,brown,0,1,0,0,6,67,64
female,1,senior,4,natural_sciences,brown,1,1,0,1,10,64.5,56
male,0,sophomore,2,economics,brown,0,1,1,0,20,73,80
male,0,sophomore,2,economics,brown,0,1,0,0,12,76,66
female,1,sophomore,2,arts_humanities,black,0,0,0,0,3.5,62,76
male,0,sophomore,2,economics,black,0,0,0,0,8,71,60
male,0,senior,4,social_sciences,brown,0,0,0,0,3,68,66
female,1,sophomore,2,arts_humanities,black,0,0,0,0,0,62,74
female,1,junior,3,natural_sciences,black,0,1,0,0,7,67,82
female,1,senior,4,natural_sciences,black,0,1,0,1,6,64,64
female,1,senior,4,natural_sciences,blonde,0,0,1,0,15,68,64
female,1,sophomore,2,economics,black,0,0,1,1,10,69,60
female,1,junior,3,social_sciences,brown,0,1,0,0,2,63,86
female,1,sophomore,2,economics,brown,0,0,1,0,3.5,65,74
female,1,sophomore,2,arts_humanities,black,0,0,0,0,0,62,74
female,1,freshman,1,economics,blonde,0,1,0,0,8,63,50
female,1,freshman,1,social_sciences,black,0,1,0,0,3,65,50
female,1,freshman,1,social_sciences,brown,0,0,0,0,2,66,58
female,1,sophomore,2,social_sciences,brown,1,0,0,0,3,68,58
female,1,junior,3,social_sciences,brown,0,1,0,0,0,66,64
male,0,freshman,1,social_sciences,black,0,1,1,0,9,71,66
male,0,sophomore,2,arts_humanities,brown,0,0,0,0,5,74,58
female,1,junior,3,natural_sciences,black,0,1,0,0,2,61,84
female,1,senior,4,natural_sciences,brown,0,0,0,1,0,61,80
female,1,freshman,1,economics,brown,0,0,1,1,18,69,60
female,1,sophomore,2,social_sciences,brown,0,1,0,0,1,67,70
female,1,sophomore,2,arts_humanities,brown,0,0,0,0,2,63,68
male,0,freshman,1,economics,brown,0,1,0,0,5,68,70
male,0,freshman,1,economics,brown,0,0,0,0,2,71,72
female,1,senior,4,natural_sciences,other,1,0,0,0,1,68,72
female,1,junior,3,arts_humanities,black,0,0,0,0,2,62,82
female,1,sophomore,2,natural_sciences,brown,0,0,0,1,1,64,60
female,1,freshman,1,economics,black,0,1,0,0,0,63,56
female,1,senior,4,social_sciences,black,0,0,0,0,3,66,78
female,1,sophomore,2,economics,brown,1,1,0,0,3,66,68
female,1,sophomore,2,social_sciences,black,0,1,0,0,3,62,58
male,0,sophomore,2,economics,black,0,1,1,0,15,71,58
female,1,freshman,1,arts_humanities,brown,0,1,1,0,10,65,48
female,1,junior,3,natural_sciences,black,0,1,0,0,7,67,82
male,0,freshman,1,natural_sciences,black,0,1,0,0,10,69,76
female,1,junior,3,natural_sciences,black,0,1,0,0,2,61,84
female,1,senior,4,natural_sciences,blonde,0,0,1,0,15,68,64
female,1,sophomore,2,economics,blonde,0,1,0,1,4,66,76
female,1,junior,3,social_sciences,brown,1,0,0,0,9,65.5,72
female,1,sophomore,2,arts_humanities,black,0,0,0,0,3.5,62,76
male,0,freshman,1,economics,brown,0,0,0,0,3,68,70
female,1,junior,3,natural_sciences,black,0,1,0,0,2,61,84
male,0,freshman,1,economics,black,0,1,1,0,24,72.4,60
female,1,sophomore,2,social_sciences,brown,0,0,0,0,5,66,62
female,1,freshman,1,natural_sciences,black,0,0,0,0,1,60,62
female,1,sophomore,2,natural_sciences,brown,0,0,0,1,1,64,60
male,0,sophomore,2,social_sciences,brown,0,1,0,0,0,71,110
